Difference,confidence,weight,sum
0.0,0.25704547138587697,735989.0,40487.0
0.01,0.5355041107745565,735989.0,46220.0
0.02,0.8301085129145652,735989.0,32715.0
0.03,0.9333085828073847,735989.0,29629.0
0.04,0.9679088667384433,735989.0,28793.0
0.05,0.9818050491848387,735989.0,29074.0
0.06,0.9899325376232486,735989.0,28905.0
0.07,0.9929900894367899,735989.0,28959.0
0.08,0.9957657750697098,735989.0,29049.0
0.09,0.9968230947201215,735989.0,28959.0
0.1,0.9972292368125701,735989.0,28512.0
0.11,0.9976409958626696,735989.0,27554.0
0.12,0.9980604677695379,735989.0,26295.0
0.13,0.998410427594977,735989.0,25164.0
0.14,0.9991565807784759,735989.0,23713.0
0.15,0.9990340709518791,735989.0,22776.0
0.16,0.9989743589743589,735989.0,21450.0
0.17,0.999367858011184,735989.0,20565.0
0.18,0.9995955101628071,735989.0,19778.0
0.19,0.9994992767330588,735989.0,17974.0
0.2,0.9998195705779755,735989.0,16627.0
0.21,0.9996737570142242,735989.0,15326.0
0.22,0.9997902391273947,735989.0,14302.0
0.23,0.9999231419568058,735989.0,13011.0
0.24,0.9999178374825405,735989.0,12171.0
0.25,0.9998205312275664,735989.0,11144.0
0.26,0.9998053906782135,735989.0,10277.0
0.27,0.9998911979109999,735989.0,9191.0
0.28,1.0,735989.0,8300.0
0.29,0.999740158503313,735989.0,7697.0
0.3,1.0,735989.0,7036.0
0.31,1.0,735989.0,6093.0
0.32,0.9998223485521407,735989.0,5629.0
0.33,1.0,735989.0,5035.0
0.34,1.0,735989.0,4634.0
0.35,1.0,735989.0,3920.0
0.36,1.0,735989.0,3533.0
0.37,1.0,735989.0,3098.0
0.38,1.0,735989.0,2737.0
0.39,1.0,735989.0,2322.0
0.4,1.0,735989.0,2001.0
0.41,0.9994155464640561,735989.0,1711.0
0.42,1.0,735989.0,1583.0
0.43,1.0,735989.0,1402.0
0.44,1.0,735989.0,1237.0
0.45,1.0,735989.0,1170.0
0.46,1.0,735989.0,990.0
0.47,1.0,735989.0,807.0
0.48,1.0,735989.0,787.0
0.49,1.0,735989.0,699.0
0.5,1.0,735989.0,565.0
0.51,1.0,735989.0,510.0
0.52,1.0,735989.0,453.0
0.53,1.0,735989.0,360.0
0.54,1.0,735989.0,321.0
0.55,1.0,735989.0,367.0
0.56,1.0,735989.0,333.0
0.57,1.0,735989.0,356.0
0.58,1.0,735989.0,229.0
0.59,1.0,735989.0,224.0
0.6,1.0,735989.0,181.0
0.61,1.0,735989.0,218.0
0.62,1.0,735989.0,111.0
0.63,1.0,735989.0,159.0
0.64,1.0,735989.0,48.0
0.65,1.0,735989.0,32.0
0.66,1.0,735989.0,45.0
0.67,1.0,735989.0,12.0
0.68,1.0,735989.0,30.0
0.69,1.0,735989.0,32.0
0.7,1.0,735989.0,96.0
0.71,1.0,735989.0,14.0
0.72,1.0,735989.0,22.0
0.73,1.0,735989.0,43.0
0.74,1.0,735989.0,16.0
0.75,1.0,735989.0,24.0
0.76,1.0,735989.0,20.0
0.77,1.0,735989.0,10.0
0.78,1.0,735989.0,8.0
0.79,1.0,735989.0,11.0
0.8,1.0,735989.0,51.0
0.81,1.0,735989.0,4.0
0.82,1.0,735989.0,14.0
0.83,1.0,735989.0,11.0
0.84,1.0,735989.0,8.0
0.85,1.0,735989.0,4.0
0.86,1.0,735989.0,5.0
0.87,1.0,735989.0,0.0
0.88,1.0,735989.0,0.0
0.89,1.0,735989.0,1.0
0.9,1.0,735989.0,0.0
0.91,1.0,735989.0,0.0
0.92,1.0,735989.0,0.0
0.93,1.0,735989.0,0.0
0.94,1.0,735989.0,0.0
0.95,1.0,735989.0,0.0
0.96,1.0,735989.0,0.0
0.97,1.0,735989.0,0.0
0.98,1.0,735989.0,0.0
0.99,1.0,735989.0,0.0
1.0,1.0,735989.0,0.0
