Difference,confidence,weight,sum
0.0,0.21185796136359794,2832263.0,591670.0
0.01,0.4701814301807162,2832263.0,504216.0
0.02,0.7452869679618472,2832263.0,267556.0
0.03,0.8534311413109732,2832263.0,188669.0
0.04,0.9015044807806153,2832263.0,146961.0
0.05,0.9257787431505159,2832263.0,121542.0
0.06,0.9429529881541203,2832263.0,104931.0
0.07,0.9528624615550639,2832263.0,92665.0
0.08,0.9599660214792791,2832263.0,82405.0
0.09,0.9669131436532176,2832263.0,74652.0
0.1,0.9724476911976911,2832263.0,66528.0
0.11,0.9755987423066631,2832263.0,59792.0
0.12,0.9795823493314986,2832263.0,53777.0
0.13,0.982258097985101,2832263.0,48191.0
0.14,0.9840150662593877,2832263.0,43541.0
0.15,0.9854249575422677,2832263.0,39451.0
0.16,0.9850271852781263,2832263.0,35865.0
0.17,0.9857669683947456,2832263.0,32811.0
0.18,0.9864403306236765,2832263.0,29278.0
0.19,0.9890691651432053,2832263.0,26256.0
0.2,0.9888959525323162,2832263.0,23595.0
0.21,0.987608664329283,2832263.0,20821.0
0.22,0.9905793178126692,2832263.0,18470.0
0.23,0.9894628474535214,2832263.0,16513.0
0.24,0.989896962397966,2832263.0,14946.0
0.25,0.9909937414135247,2832263.0,13102.0
0.26,0.9908644899340213,2832263.0,11822.0
0.27,0.9914666166541636,2832263.0,10664.0
0.28,0.990998280570446,2832263.0,9887.0
0.29,0.9909745230206787,2832263.0,8753.0
0.3,0.9916918429003021,2832263.0,7944.0
0.31,0.9937544357700496,2832263.0,7045.0
0.32,0.9923763179237631,2832263.0,6165.0
0.33,0.9926484102187098,2832263.0,5441.0
0.34,0.9924994932090007,2832263.0,4933.0
0.35,0.9920109564026478,2832263.0,4381.0
0.36,0.9921299822289922,2832263.0,3939.0
0.37,0.9914917753828701,2832263.0,3526.0
0.38,0.99084069349035,2832263.0,3057.0
0.39,0.9923531456378172,2832263.0,2877.0
0.4,0.9933852140077821,2832263.0,2570.0
0.41,0.9924457034938622,2832263.0,2118.0
0.42,0.9930624380574826,2832263.0,2018.0
0.43,0.9933503836317136,2832263.0,1955.0
0.44,0.9927360774818402,2832263.0,1652.0
0.45,0.99,2832263.0,1500.0
0.46,0.9938461538461538,2832263.0,1300.0
0.47,0.9957947855340622,2832263.0,1189.0
0.48,0.9909365558912386,2832263.0,993.0
0.49,0.989749430523918,2832263.0,878.0
0.5,0.995243757431629,2832263.0,841.0
0.51,0.9958960328317373,2832263.0,731.0
0.52,0.9905362776025236,2832263.0,634.0
0.53,0.994661921708185,2832263.0,562.0
0.54,0.9963369963369964,2832263.0,546.0
0.55,0.998019801980198,2832263.0,505.0
0.56,0.9975369458128078,2832263.0,406.0
0.57,0.9973821989528796,2832263.0,382.0
0.58,0.9970760233918129,2832263.0,342.0
0.59,0.9956331877729258,2832263.0,229.0
0.6,1.0,2832263.0,216.0
0.61,1.0,2832263.0,217.0
0.62,1.0,2832263.0,159.0
0.63,1.0,2832263.0,202.0
0.64,1.0,2832263.0,92.0
0.65,1.0,2832263.0,61.0
0.66,1.0,2832263.0,79.0
0.67,1.0,2832263.0,76.0
0.68,0.9857142857142858,2832263.0,70.0
0.69,1.0,2832263.0,66.0
0.7,1.0,2832263.0,53.0
0.71,1.0,2832263.0,81.0
0.72,1.0,2832263.0,128.0
0.73,1.0,2832263.0,89.0
0.74,1.0,2832263.0,73.0
0.75,1.0,2832263.0,80.0
0.76,1.0,2832263.0,66.0
0.77,1.0,2832263.0,35.0
0.78,1.0,2832263.0,89.0
0.79,1.0,2832263.0,50.0
0.8,1.0,2832263.0,49.0
0.81,1.0,2832263.0,48.0
0.82,1.0,2832263.0,51.0
0.83,1.0,2832263.0,66.0
0.84,1.0,2832263.0,40.0
0.85,1.0,2832263.0,17.0
0.86,1.0,2832263.0,19.0
0.87,1.0,2832263.0,1.0
0.88,1.0,2832263.0,1.0
0.89,1.0,2832263.0,0.0
0.9,1.0,2832263.0,0.0
0.91,1.0,2832263.0,0.0
0.92,1.0,2832263.0,0.0
0.93,1.0,2832263.0,0.0
0.94,1.0,2832263.0,0.0
0.95,1.0,2832263.0,0.0
0.96,1.0,2832263.0,0.0
0.97,1.0,2832263.0,0.0
0.98,1.0,2832263.0,0.0
0.99,1.0,2832263.0,0.0
1.0,1.0,2832263.0,0.0
