Difference,confidence,weight,sum
0.0,0.28235409418336843,900731.0,40814.0
0.01,0.5425621222296844,900731.0,47648.0
0.02,0.7946939130939595,900731.0,34451.0
0.03,0.8871561126485431,900731.0,30715.0
0.04,0.9340115574933389,900731.0,28899.0
0.05,0.9552177060709484,900731.0,29007.0
0.06,0.9687423857426294,900731.0,28729.0
0.07,0.9764029074373902,900731.0,29029.0
0.08,0.9828827277423798,900731.0,29035.0
0.09,0.9851834190537825,900731.0,29359.0
0.1,0.9888467325178256,900731.0,30574.0
0.11,0.9898660528755474,900731.0,31281.0
0.12,0.9893788220148053,900731.0,31070.0
0.13,0.9920462995893822,900731.0,30929.0
0.14,0.9929022082018928,900731.0,30432.0
0.15,0.9940195045703218,900731.0,29429.0
0.16,0.9932955487973458,900731.0,28936.0
0.17,0.9944069984224867,900731.0,27892.0
0.18,0.9947784630519505,900731.0,26429.0
0.19,0.9943581946222791,900731.0,24992.0
0.2,0.9951001098251246,900731.0,23674.0
0.21,0.9963248317392844,900731.0,22584.0
0.22,0.9962587611290017,900731.0,21116.0
0.23,0.9964815280221161,900731.0,19895.0
0.24,0.9951139200169951,900731.0,18829.0
0.25,0.9942253277126523,900731.0,17317.0
0.26,0.9943757725587145,900731.0,16180.0
0.27,0.9960541533437649,900731.0,14699.0
0.28,0.9953509298140372,900731.0,13336.0
0.29,0.9945515166300724,900731.0,12297.0
0.3,0.9917553191489362,900731.0,11280.0
0.31,0.9941768653770233,900731.0,10132.0
0.32,0.9952669235002751,900731.0,9085.0
0.33,0.9941377625793845,900731.0,8188.0
0.34,0.9955381287182261,900731.0,7396.0
0.35,0.9954250295159386,900731.0,6776.0
0.36,0.9949080157687253,900731.0,6088.0
0.37,0.9958647968356706,900731.0,5562.0
0.38,0.9962057335581788,900731.0,4744.0
0.39,0.9966450994488377,900731.0,4173.0
0.4,0.9944997380827658,900731.0,3818.0
0.41,0.996031746031746,900731.0,3276.0
0.42,0.992827868852459,900731.0,2928.0
0.43,0.9908180300500835,900731.0,2396.0
0.44,0.9928537398761315,900731.0,2099.0
0.45,0.9972572682391662,900731.0,1823.0
0.46,0.9943573667711598,900731.0,1595.0
0.47,0.9985486211901307,900731.0,1378.0
0.48,1.0,900731.0,1251.0
0.49,1.0,900731.0,1019.0
0.5,0.9988584474885844,900731.0,876.0
0.51,1.0,900731.0,862.0
0.52,1.0,900731.0,635.0
0.53,1.0,900731.0,544.0
0.54,1.0,900731.0,470.0
0.55,1.0,900731.0,423.0
0.56,1.0,900731.0,344.0
0.57,1.0,900731.0,368.0
0.58,1.0,900731.0,263.0
0.59,1.0,900731.0,216.0
0.6,1.0,900731.0,232.0
0.61,1.0,900731.0,157.0
0.62,1.0,900731.0,174.0
0.63,1.0,900731.0,76.0
0.64,1.0,900731.0,74.0
0.65,1.0,900731.0,32.0
0.66,1.0,900731.0,129.0
0.67,1.0,900731.0,23.0
0.68,1.0,900731.0,27.0
0.69,1.0,900731.0,16.0
0.7,1.0,900731.0,16.0
0.71,1.0,900731.0,20.0
0.72,1.0,900731.0,19.0
0.73,1.0,900731.0,14.0
0.74,1.0,900731.0,11.0
0.75,1.0,900731.0,22.0
0.76,1.0,900731.0,18.0
0.77,1.0,900731.0,12.0
0.78,1.0,900731.0,5.0
0.79,1.0,900731.0,8.0
0.8,1.0,900731.0,11.0
0.81,1.0,900731.0,7.0
0.82,1.0,900731.0,10.0
0.83,1.0,900731.0,8.0
0.84,1.0,900731.0,6.0
0.85,1.0,900731.0,15.0
0.86,1.0,900731.0,1.0
0.87,1.0,900731.0,1.0
0.88,1.0,900731.0,2.0
0.89,1.0,900731.0,0.0
0.9,1.0,900731.0,0.0
0.91,1.0,900731.0,0.0
0.92,1.0,900731.0,0.0
0.93,1.0,900731.0,0.0
0.94,1.0,900731.0,0.0
0.95,1.0,900731.0,0.0
0.96,1.0,900731.0,0.0
0.97,1.0,900731.0,0.0
0.98,1.0,900731.0,0.0
0.99,1.0,900731.0,0.0
1.0,1.0,900731.0,0.0
